source_row,index,severity,message
23,93,error,Field 'BALANCE-AMT' has invalid format for value '+000000002846880000'
23,94,error,"Row 23 first misalignment at offset 25: field=CREDIT-LIMIT-AMT, reason=invalid_format, expected=9(12), actual=+000000012406"
23,95,error,Field 'CREDIT-LIMIT-AMT' has invalid format for value '+000000012406'
23,96,error,Field 'CURRENT-DUE-AMT' has invalid format for value '+000000000205170000'
24,97,error,Field 'BALANCE-AMT' has invalid format for value '+000000009508750000'
24,98,error,"Row 24 first misalignment at offset 25: field=CREDIT-LIMIT-AMT, reason=invalid_format, expected=9(12), actual=+000000034168"
24,99,error,Field 'CREDIT-LIMIT-AMT' has invalid format for value '+000000034168'
24,100,error,Field 'CURRENT-DUE-AMT' has invalid format for value '+000000000512540000'
25,101,error,Field 'BALANCE-AMT' has invalid format for value '+000000043885720000'
25,102,error,"Row 25 first misalignment at offset 25: field=CREDIT-LIMIT-AMT, reason=invalid_format, expected=9(12), actual=+000000051038"
25,103,error,Field 'CREDIT-LIMIT-AMT' has invalid format for value '+000000051038'
25,104,error,Field 'CURRENT-DUE-AMT' has invalid format for value '+000000000849680000'
,105,critical,Invalid file format
,106,error,Found first-misalignment issues in 25/25 rows (showing up to 200 rows).
,107,error,Line length mismatch found in 1 of 25 rows (expected length=2809). Incorrect rows sample: [1]
